magx,magy,magz
0.0236,-0.1575,-0.9872
-0.2948,-0.261,-0.9192
-0.3598,-0.2623,-0.8954
-0.2851,-0.2618,-0.922
-0.2851,-0.2618,-0.922
-0.3019,-0.0894,-0.9491
-0.2038,0.406,-0.8909
0.4494,0.5189,-0.7272
0.8097,-0.1571,-0.5654
0.8097,-0.1571,-0.5654
0.5908,-0.3621,-0.721
0.2815,-0.2714,-0.9204
-0.0505,0.0156,-0.9986
-0.101,0.2903,-0.9516
-0.101,0.2903,-0.9516
-0.1181,0.2935,-0.9486
-0.1623,0.35,-0.9226
0.1295,-0.5786,-0.8053
0.4066,-0.9035,-0.1355
0.4066,-0.9035,-0.1355
0.4241,-0.8224,-0.3791
0.3185,-0.5231,-0.7905
0.008,0.004,-1
-0.196,0.2633,-0.9446
-0.196,0.2633,-0.9446
-0.2066,0.3573,-0.9109
0.0502,-0.5291,-0.8471
0.4453,-0.8759,-0.1858
0.4603,-0.7152,-0.526
0.4603,-0.7152,-0.526
0.2281,-0.2541,-0.9399
-0.1727,0.1522,-0.9731
-0.422,0.0051,-0.9066
-0.1892,-0.4495,-0.873
-0.1892,-0.4495,-0.873
0.5455,-0.816,-0.1912
0.5758,-0.6827,-0.4498
0.2916,-0.2889,-0.9119
-0.1912,0.1007,-0.9764
-0.1912,0.1007,-0.9764
-0.4602,0.0393,-0.887
-0.1828,0.2903,-0.9393
0.4634,0.5373,-0.7047
0.4634,0.5373,-0.7047
0.7506,0.1211,-0.6496
0.6682,-0.328,-0.6677
0.4294,-0.5899,-0.6838
0.0782,-0.5532,-0.8294
-0.1087,-0.1955,-0.9747
-0.1087,-0.1955,-0.9747
0.0693,0.1637,-0.9841
0.1896,0.278,-0.9417
0.1764,0.3287,-0.9278
0.1267,0.4431,-0.8875
0.1267,0.4431,-0.8875
0.2004,0.1661,-0.9655
0.6028,-0.7519,-0.2669
0.4906,-0.8475,-0.2026
0.4175,-0.8046,-0.4223
0.4175,-0.8046,-0.4223
0.3347,-0.5135,-0.7901
0.0985,-0.0119,-0.9951
-0.0513,0.3113,-0.9489
-0.0947,0.3464,-0.9333
-0.0947,0.3464,-0.9333
-0.0378,0.4099,-0.9114
0.3428,0.2866,-0.8946
0.7774,-0.5909,-0.2157
0.6185,-0.7285,-0.2945
0.6185,-0.7285,-0.2945
0.4434,-0.5025,-0.7422
0.068,-0.0175,-0.9975
-0.1214,0.303,-0.9452
-0.1287,0.3341,-0.9337
-0.1287,0.3341,-0.9337
-0.1505,0.3775,-0.9137
-0.0324,0.4039,-0.9142
0.5802,0.2251,-0.7828
0.8909,-0.2097,-0.4028
0.8909,-0.2097,-0.4028
0.8491,-0.4317,-0.3045
0.7602,-0.6194,-0.196
0.6932,-0.6818,-0.2337
0.7054,-0.6771,-0.2095
0.7054,-0.6771,-0.2095
0.7337,-0.6431,-0.2194
0.7753,-0.5998,-0.198
0.6782,-0.71,-0.1894
0.5435,-0.8204,-0.1776
0.5435,-0.8204,-0.1776
0.3717,-0.9117,-0.1751
0.2727,-0.9376,-0.2156
